Point_ID,Latitude,Longitude,Elevation,Slope,Aspect,Curvature,TRI,TPI,Annual_Precipitation,Monsoon_Precipitation,Max_Daily_Precipitation,Antecedent_Rainfall_7d,Antecedent_Rainfall_15d,Antecedent_Rainfall_30d,Mean_Temperature,Min_Temperature,Max_Temperature,Temperature_Range,Lithology,Fault_Density,Distance_to_Fault,NDVI,Land_Use,Forest_Cover,Distance_to_Road,Road_Density,Slope_Precipitation,Elevation_Slope,Aspect_Relief,Susceptibility_Score,Susceptibility_Class
P_002643,23.011983,83.028465,8835.17,26.97,24.05,-0.0583,4.49,-6.14,899.0,802.3,81.4,22.7,305.6,1612.4,30.1,22.9,37.2,14.4,2,0.689,3087.8,0.643,1,0.321,832.5,1.157,24.24,26.93,-0.0238,3.04,2
P_002644,20.067887,96.688678,1655.52,6.92,12.05,-0.0757,45.71,12.77,59.9,37.8,78.1,79.7,44.4,319.2,34.0,30.5,37.6,7.1,8,0.746,311.5,0.767,1,0.822,1135.8,0.137,0.41,1.29,-0.0158,1.45,1
P_002645,12.282902,78.505808,3531.78,26.07,156.99,-0.0267,3.36,16.95,1269.2,1102.5,36.5,121.1,301.8,252.0,12.5,1.4,23.6,22.2,7,0.981,3494.9,0.8,4,0.133,238.8,0.253,33.09,10.41,-0.0104,3.09,2
P_002646,25.240804,73.788065,8562.74,15.11,82.59,-0.2054,6.12,-7.89,401.9,307.9,4.6,5.0,155.9,227.7,10.6,1.0,20.3,19.3,1,0.158,213.6,0.553,3,0.014,1721.2,0.466,6.07,14.63,-0.2037,4.05,3
P_002647,23.849456,92.257424,2345.71,0.21,341.54,0.0764,48.85,-13.6,319.3,286.7,38.7,319.3,18.0,302.9,33.3,29.3,37.4,8.1,2,0.119,6730.5,0.636,3,0.238,191.3,1.583,0.07,0.06,-0.0242,4.6,3
P_002648,16.47972,73.507632,5536.48,33.36,130.65,0.0069,49.26,-7.97,592.3,358.9,34.7,48.4,13.8,831.2,23.6,19.5,27.6,8.1,8,0.429,2337.2,0.686,1,0.073,2105.4,0.093,19.76,20.88,0.0052,3.42,2
P_002649,12.035068,85.15405,4180.61,18.46,26.21,-0.0471,37.72,9.22,412.7,350.8,89.8,36.6,480.6,154.9,31.9,27.4,36.3,8.9,2,1.078,168.6,0.47,1,0.732,23.1,0.038,7.62,8.72,-0.0208,3.17,2
P_002650,28.631456,68.415601,7925.87,1.23,56.37,0.1256,35.04,-8.84,339.7,237.2,86.1,68.7,122.6,401.5,18.7,11.9,25.5,13.7,6,1.34,1593.8,0.684,3,0.176,529.7,0.139,0.42,1.1,0.1045,0.82,0
P_002651,19.428985,90.237156,4784.11,30.0,85.01,-0.0885,39.96,8.37,692.0,620.6,55.2,135.4,8.7,485.7,17.6,11.8,23.3,11.5,6,0.13,401.4,0.937,2,0.128,279.0,0.042,20.76,16.22,-0.0882,3.98,2
P_002652,20.559026,75.095855,8503.09,13.81,166.33,-0.0493,17.07,-20.37,2332.7,1578.6,16.4,123.7,462.4,455.9,7.5,-3.9,19.0,23.0,6,0.137,129.3,0.394,3,0.003,2159.8,0.398,32.21,13.27,-0.0117,3.56,2
P_002653,27.935488,78.621814,2626.09,6.14,37.01,-0.0655,17.08,-14.25,821.2,613.0,66.5,50.4,226.2,885.2,18.7,10.6,26.7,16.1,5,0.341,356.3,0.344,4,0.473,5479.3,0.123,5.04,1.82,-0.0394,1.85,1
P_002654,29.488733,70.09588,243.06,16.86,91.86,0.0039,39.1,11.06,131.1,113.0,10.5,84.0,188.2,27.3,34.3,28.8,39.8,11.0,6,0.499,67.3,0.473,1,0.13,3105.3,0.603,2.21,0.46,0.0039,2.27,1
P_002655,24.067446,93.270828,4846.26,10.14,93.5,-0.1221,24.98,6.55,1984.8,1754.0,82.9,176.2,88.6,475.6,16.6,13.9,19.4,5.5,7,0.027,245.5,0.258,3,0.214,2368.8,0.308,20.12,5.55,-0.1219,2.25,1
P_002656,17.217499,88.153905,5077.13,33.1,171.96,0.0595,33.62,2.93,554.1,422.1,47.9,29.3,76.2,279.2,13.1,9.3,16.9,7.6,7,0.196,1075.7,0.653,2,0.293,156.9,0.176,18.34,19.0,0.0083,4.22,3
P_002657,8.390237,95.710858,7541.47,6.11,185.97,-0.011,28.8,-19.47,594.3,388.9,1.7,16.8,2.6,227.0,24.8,20.5,29.1,8.6,4,0.196,255.7,0.816,1,0.455,1382.9,0.078,3.63,5.21,0.0011,0.73,0
P_002658,13.705026,83.843494,6054.28,20.93,223.4,-0.0307,28.03,14.47,681.4,564.4,9.6,29.1,362.6,501.3,27.1,23.6,30.5,7.0,3,0.415,3027.5,0.791,2,0.044,184.8,0.445,14.26,14.32,0.0211,5.4,3
P_002659,14.546586,88.356813,149.74,11.47,303.87,0.0571,36.39,-1.15,1522.8,1128.0,19.5,44.0,21.5,477.5,24.0,19.9,28.0,8.1,4,0.069,751.9,0.81,2,0.223,793.2,0.081,17.46,0.19,-0.0474,2.5,2
P_002660,33.50202,71.065065,5224.04,16.68,284.02,0.0243,24.3,-9.57,116.1,69.7,36.7,133.5,52.3,473.4,26.9,20.3,33.5,13.2,4,0.188,940.7,0.472,7,0.634,2421.6,0.138,1.94,9.85,-0.0236,2.12,1
P_002661,32.322115,96.484554,7748.22,25.43,74.34,0.1056,43.0,0.48,837.4,632.8,64.2,50.4,122.0,430.4,25.5,18.6,32.3,13.8,1,0.15,5765.4,0.672,6,0.26,993.2,1.228,21.3,22.27,0.1017,3.68,2
P_002662,34.665078,92.259198,2540.51,45.56,73.14,-0.0949,10.43,-7.94,2440.3,2092.0,6.2,76.0,269.0,459.1,8.1,2.4,13.8,11.4,5,0.439,3364.3,0.765,3,0.0,979.5,0.008,111.19,13.08,-0.0908,6.5,4
P_002663,34.339454,77.237268,1330.4,8.52,185.03,0.0086,9.3,17.22,3133.9,2627.0,13.3,133.2,21.4,50.4,18.3,8.8,27.9,19.0,8,1.77,2354.7,0.444,7,0.132,165.7,0.827,26.69,1.28,-0.0008,5.85,4
P_002664,12.873886,88.472173,1335.25,25.61,181.05,-0.1756,34.39,-9.42,110.6,94.8,71.6,46.7,760.0,713.7,13.1,1.7,24.5,22.8,1,0.585,281.6,0.904,4,0.0,1076.3,0.531,2.83,3.86,0.0032,5.06,3
P_002665,23.374504,75.519386,3685.75,4.77,277.1,-0.1046,28.38,3.56,2802.9,2382.0,110.9,248.9,41.7,508.7,24.3,21.5,27.2,5.7,6,0.116,4978.0,0.621,4,0.296,133.1,1.861,13.37,1.99,0.1038,3.16,2
P_002666,24.924239,85.104141,3383.97,21.96,171.23,0.0552,32.85,3.54,1171.0,979.1,35.0,166.9,19.4,110.8,32.7,28.5,36.9,8.4,3,0.328,1080.9,0.614,7,0.554,2981.4,2.314,25.71,8.4,0.0084,3.29,2
P_002667,25.783538,88.323274,2466.18,3.38,229.98,-0.0518,24.63,-13.62,3238.2,2892.6,14.2,14.2,50.9,292.7,28.5,20.8,36.2,15.4,8,0.507,1322.0,0.641,2,0.09,1825.7,1.006,10.93,0.94,0.0397,4.03,3
P_002668,12.247495,76.872223,4637.78,28.02,144.38,-0.0574,1.48,20.19,456.4,377.4,65.5,215.1,179.7,581.7,17.5,11.5,23.5,12.0,2,0.087,1151.7,0.417,1,0.461,42.3,1.349,12.79,14.69,-0.0334,3.94,2
P_002669,31.87504,91.233807,4969.22,11.22,234.37,0.1129,36.11,2.92,1645.7,1079.1,68.5,6.0,214.9,498.6,34.0,27.3,40.7,13.4,1,0.204,1086.7,0.839,1,0.348,136.5,0.058,18.47,6.3,-0.0917,3.42,2
P_002670,34.383956,92.254815,8257.2,5.72,189.54,-0.0641,39.71,-14.48,776.1,491.2,0.2,26.9,40.5,632.1,25.0,14.1,35.9,21.8,3,0.438,1080.4,0.892,6,0.021,94.2,0.247,4.44,5.34,0.0106,4.25,3
P_002671,31.085081,91.637269,6980.26,20.46,135.58,-0.0589,8.13,3.26,931.6,712.6,31.9,132.8,165.9,27.2,31.6,22.8,40.4,17.6,7,0.281,3.7,0.484,6,0.033,1026.5,0.557,19.06,16.14,-0.0412,1.84,1
P_002672,17.47422,68.29088,7431.1,80.23,311.91,-0.1662,47.99,-11.49,4000.0,3134.7,36.1,72.6,45.1,521.1,10.1,5.5,14.7,9.2,5,1.017,2192.8,0.856,4,0.002,738.4,0.578,320.91,67.38,0.1237,6.01,4
P_002673,23.26909,92.271138,3354.81,17.65,153.14,-0.1008,41.57,0.76,462.7,319.4,4.6,70.6,108.2,41.7,27.5,24.4,30.7,6.3,1,0.309,885.6,0.929,4,0.146,632.8,0.024,8.17,6.69,-0.0455,3.23,2
P_002674,23.316364,85.555336,4099.86,30.16,200.37,0.0416,45.47,13.71,289.2,245.7,29.7,119.6,167.0,46.1,18.1,8.9,27.3,18.5,7,0.123,877.6,0.966,1,0.28,729.2,0.856,8.72,13.98,-0.0145,3.18,2
P_002675,16.7303,96.468276,3463.86,2.31,236.5,0.0884,12.18,11.94,228.9,168.4,24.1,739.7,248.7,34.4,11.9,7.8,15.9,8.1,1,0.19,784.5,0.904,4,0.024,4042.0,0.112,0.53,0.9,-0.0737,1.35,1
P_002676,28.701834,83.018313,597.81,6.74,31.18,-0.0426,14.53,-4.96,1807.0,1508.9,65.9,116.6,56.3,232.5,18.8,11.0,26.6,15.7,7,1.097,486.8,0.503,5,0.202,382.9,0.592,12.17,0.46,-0.0221,3.99,2
P_002677,33.66831,85.364327,1149.25,17.14,63.68,-0.0135,17.52,7.15,1419.3,881.8,92.7,56.3,281.1,599.7,35.0,29.0,40.9,11.9,7,0.169,10825.3,0.524,6,0.091,555.3,0.721,24.32,2.23,-0.0121,3.74,2
P_002678,25.831751,71.499118,3903.82,12.88,246.1,0.1301,4.59,3.64,1851.5,1457.4,5.1,158.2,217.5,318.2,29.1,19.8,38.3,18.5,3,0.134,1403.7,0.466,4,0.358,792.9,0.544,23.84,5.68,-0.1189,2.56,2
P_002679,21.86159,80.620985,3127.5,9.23,215.29,0.1012,31.21,4.51,2442.5,1946.6,21.5,99.7,261.1,462.9,30.5,18.9,42.1,23.1,2,0.041,2136.6,0.707,6,0.207,48.9,0.032,22.55,3.26,-0.0585,5.21,3
P_002680,17.079723,84.997092,1159.89,63.33,294.16,0.0553,29.24,-0.14,2727.0,2311.9,0.7,159.3,306.4,152.7,19.8,15.9,23.7,7.8,5,0.561,7975.5,0.91,2,0.405,218.9,0.484,172.69,8.3,-0.0504,8.15,4
P_002681,13.773836,72.862774,1380.69,18.57,273.46,-0.101,5.99,13.85,100.8,62.1,25.2,81.0,93.2,499.9,25.1,18.1,32.1,13.9,1,0.453,553.8,0.704,3,0.259,1001.2,0.125,1.87,2.9,0.1008,3.73,2
P_002682,17.575855,78.209275,4600.83,11.13,240.23,0.0435,21.89,-0.4,1910.3,1549.0,6.1,296.3,73.0,353.2,6.0,-5.6,17.6,23.2,5,0.162,2299.8,0.501,1,0.112,546.3,0.553,21.26,5.79,-0.0377,2.51,2
P_002683,34.035676,75.61683,5960.72,2.47,30.81,-0.1138,13.17,0.04,1005.5,799.9,58.7,137.8,47.1,140.5,5.4,2.1,8.6,6.5,2,0.103,1356.7,0.6,4,0.018,1510.9,1.441,2.48,1.66,-0.0583,2.29,1
P_002684,28.639888,94.754394,4865.69,5.12,237.07,-0.0878,21.34,-9.37,37.5,32.8,61.4,8.8,38.4,369.6,32.3,28.9,35.6,6.8,3,0.112,397.7,0.663,1,0.598,264.8,1.148,0.19,2.82,0.0737,2.89,2
P_002685,11.620638,78.389326,4289.39,12.11,119.34,-0.1103,40.48,2.43,158.2,103.6,80.9,80.8,89.3,211.4,21.9,18.6,25.3,6.7,6,0.298,1063.8,0.433,6,0.091,12.6,0.611,1.92,5.87,-0.0961,2.4,1
P_002686,27.205649,96.953164,1973.69,0.15,14.85,-0.0736,11.17,-6.34,273.4,171.1,12.9,12.3,3.5,641.1,10.7,7.0,14.4,7.4,2,0.701,509.2,0.787,4,0.122,1029.8,0.161,0.04,0.03,-0.0189,2.68,2
P_002687,35.619439,94.392263,5312.01,8.22,203.69,-0.1441,40.1,1.16,1287.6,876.5,104.4,8.3,501.9,196.4,29.3,25.3,33.4,8.1,4,0.017,653.5,0.361,2,0.2,128.3,0.037,10.59,4.94,0.0579,2.63,2
P_002688,26.697783,88.447845,5826.86,13.96,71.14,0.0069,42.01,3.51,85.9,59.2,5.2,196.0,340.6,593.2,25.4,21.8,28.9,7.1,3,0.61,895.2,0.603,6,0.247,58.7,0.079,1.2,9.19,0.0065,4.38,3
P_002689,35.67667,85.307293,6023.42,14.51,324.89,0.057,15.12,4.75,8.6,5.8,71.1,63.5,36.9,339.1,20.5,13.4,27.5,14.1,2,0.027,1853.3,0.469,5,0.06,2073.3,0.848,0.12,9.88,-0.0328,1.97,1
P_002690,21.763042,78.274362,5466.31,12.51,155.11,-0.0589,38.37,-0.07,2557.9,1855.5,70.5,51.6,380.7,2867.7,31.9,28.9,35.0,6.1,1,0.39,6519.5,0.494,1,0.649,574.8,0.276,32.0,7.73,-0.0248,4.64,3
P_002691,33.316115,95.0792,1493.67,4.92,282.97,-0.082,33.83,-8.88,858.1,696.0,3.8,70.2,223.5,257.3,8.8,5.0,12.7,7.7,4,0.078,724.1,0.947,2,0.016,159.4,0.364,4.22,0.83,0.0799,2.89,2
P_002692,17.577544,78.10643,582.25,43.74,338.29,0.1081,16.51,-2.8,983.6,809.9,37.0,17.9,95.3,570.0,28.4,22.5,34.3,11.8,4,0.116,578.3,0.819,2,0.255,818.5,0.017,43.02,2.88,-0.04,3.17,2
P_002693,10.670942,86.29233,1763.49,9.06,337.15,-0.0329,18.6,-5.12,103.9,76.7,37.7,108.4,104.3,140.3,24.3,12.7,35.9,23.2,3,0.174,2529.7,0.74,2,0.124,671.2,0.038,0.94,1.81,0.0128,3.59,2
P_002694,36.275766,80.247165,5066.19,10.46,265.67,-0.1345,26.0,12.52,2098.7,1658.0,154.6,140.2,132.8,658.0,18.3,13.6,22.9,9.3,5,0.218,50.4,0.661,3,0.412,1041.0,0.408,21.95,5.99,0.1341,2.82,2
P_002695,29.456918,76.168468,5263.53,8.35,110.51,0.0544,6.33,-5.27,3326.9,2163.3,110.0,18.4,9.8,267.7,15.7,7.2,24.2,17.0,5,1.362,6103.2,0.423,1,0.255,112.9,0.747,27.78,4.97,0.0509,4.95,3
P_002696,11.977914,82.551641,5591.94,21.41,256.55,0.0565,28.55,6.95,240.8,159.2,5.9,12.0,413.5,373.1,33.1,21.7,44.4,22.7,2,0.513,954.3,0.746,3,0.049,280.0,0.574,5.15,13.53,-0.055,4.6,3
P_002697,17.773239,81.152114,4278.69,3.24,339.18,-0.0366,0.01,-9.3,535.4,337.9,23.8,21.6,161.4,4.8,20.2,14.9,25.5,10.7,2,0.219,2115.3,0.521,2,0.024,951.3,0.073,1.74,1.57,0.013,1.33,1
P_002698,12.418734,83.105484,3734.21,15.41,62.13,0.1033,1.04,-12.22,204.2,164.0,15.0,183.3,144.6,374.7,14.6,9.9,19.4,9.5,2,0.614,2336.8,0.541,3,0.286,12.2,0.321,3.15,6.51,0.0913,4.19,3
P_002699,12.343293,75.467465,879.46,5.76,47.81,-0.0255,31.23,10.17,2446.1,1469.9,9.7,168.6,6.2,438.0,10.4,2.9,18.0,15.1,8,0.523,918.4,0.891,2,0.126,636.4,0.126,14.1,0.57,-0.0189,3.47,2
P_002700,13.115248,89.437187,5797.91,25.44,0.6,0.0289,17.37,5.11,516.3,391.5,0.2,165.1,24.2,856.0,27.1,19.0,35.1,16.1,6,0.787,2786.6,0.658,7,0.061,497.3,0.318,13.14,16.67,0.0003,3.04,2
P_002701,36.193894,80.971864,2471.67,15.59,39.93,-0.044,27.17,-13.3,3851.1,2997.7,12.6,179.2,73.4,523.6,23.9,19.8,27.9,8.2,1,0.468,2207.1,0.655,1,0.116,141.6,0.243,60.03,4.35,-0.0283,8.36,4
P_002702,15.504141,75.510547,2269.23,8.13,47.54,0.0846,41.37,-10.39,16.6,10.4,96.6,24.2,74.8,164.4,31.0,26.8,35.1,8.3,7,0.315,3057.3,0.651,1,0.593,1463.2,0.169,0.14,2.08,0.0624,1.89,1
P_002703,15.786769,95.022353,1062.2,14.35,285.51,-0.0173,46.12,-27.21,2109.6,1389.7,31.0,101.5,240.9,47.4,31.0,20.3,41.7,21.4,2,0.323,969.1,0.764,5,0.177,339.3,0.225,30.28,1.72,0.0167,6.45,4
P_002704,17.265447,69.057388,5769.34,8.59,10.12,-0.1502,46.64,-5.99,2642.2,1918.9,13.7,4.7,273.2,1393.7,10.6,3.9,17.2,13.3,2,0.425,4100.5,0.813,1,0.351,479.7,0.095,22.7,5.6,-0.0264,4.67,3
P_002705,22.175565,93.948211,4058.81,0.42,130.82,-0.1576,14.8,-7.05,266.2,236.1,37.7,77.0,110.9,383.8,17.7,8.3,27.1,18.8,1,0.015,1653.0,0.583,1,0.787,193.0,0.093,0.11,0.19,-0.1193,0.8,0
P_002706,35.522038,74.127761,3961.8,3.13,92.14,0.1612,32.0,-8.83,626.9,524.5,60.0,94.0,400.1,149.8,11.3,4.7,17.9,13.2,1,0.354,909.0,0.802,4,0.008,647.0,0.851,1.96,1.4,0.1611,1.2,1
P_002707,21.014333,76.724785,1512.55,4.85,302.48,0.017,31.0,16.93,4000.0,3512.6,5.1,40.4,75.1,322.8,7.7,-4.0,19.4,23.4,6,0.065,586.8,0.433,3,0.017,329.6,1.152,19.38,0.83,-0.0144,5.29,3
P_002708,25.544984,76.366777,7393.0,47.68,102.06,-0.2527,0.01,24.74,78.7,63.1,17.3,318.6,304.1,30.1,33.6,28.9,38.4,9.5,6,0.515,1537.0,0.584,3,0.112,167.2,0.381,3.75,39.84,-0.2471,3.96,2
P_002709,36.045514,92.899731,3807.15,30.73,21.41,-0.0626,4.96,1.3,1734.3,1473.9,2.7,126.5,88.3,681.5,16.6,6.5,26.8,20.4,8,0.207,1267.4,0.561,6,0.211,409.2,0.145,53.29,13.22,-0.0228,6.71,4
P_002710,9.908022,85.364352,7323.6,6.74,176.28,-0.1008,7.21,4.79,1583.5,1008.6,21.2,19.0,178.0,512.8,34.3,26.7,41.8,15.1,5,0.056,337.4,0.706,3,0.141,158.6,0.051,10.67,5.58,-0.0065,3.07,2
P_002711,11.562584,88.050794,8168.26,2.87,301.73,-0.1082,14.92,-7.81,328.2,212.5,8.8,271.0,90.5,87.3,10.1,0.9,19.4,18.5,6,1.95,1967.4,0.639,2,0.075,1163.4,0.524,0.94,2.65,0.092,-0.53,0
P_002712,29.496542,78.46633,6500.65,3.17,212.56,0.086,17.87,0.73,1173.8,733.6,34.2,151.7,393.2,510.9,17.6,12.5,22.6,10.1,3,0.412,11.6,0.641,3,0.289,931.6,0.696,3.72,2.33,-0.0463,1.28,1
P_002713,29.126939,76.755106,1099.51,1.8,182.05,0.1438,19.16,-5.58,636.9,487.9,3.0,238.6,93.1,382.2,14.2,4.1,24.3,20.2,3,0.194,6637.8,0.356,1,0.195,717.7,0.771,1.14,0.22,-0.0052,2.41,1
P_002714,27.575795,89.467195,7590.75,9.56,153.26,0.0065,0.96,0.87,1273.0,1109.0,57.5,80.6,38.7,1202.9,23.8,20.3,27.3,7.0,8,0.363,342.1,0.653,2,0.117,3275.9,1.642,12.17,8.2,0.0029,2.32,1
P_002715,20.963188,74.792425,2222.91,25.66,28.7,0.008,45.51,-2.03,314.9,194.1,112.8,43.7,159.6,723.8,12.5,4.0,21.0,17.0,8,0.676,1012.8,0.846,1,0.537,1514.0,0.183,8.08,6.45,0.0038,3.58,2
P_002716,34.94164,70.641529,6388.44,2.18,7.21,0.0065,3.95,-18.96,151.6,112.5,35.5,154.8,217.9,250.9,14.7,12.2,17.3,5.0,7,0.155,479.6,0.795,2,0.04,635.9,0.221,0.33,1.58,0.0008,0.0,0
P_002717,22.621127,68.628296,938.62,5.9,172.73,-0.0932,34.69,9.98,587.6,489.1,32.8,78.0,114.2,57.0,10.1,3.6,16.6,13.0,1,0.076,1954.9,0.522,5,0.166,381.4,0.546,3.47,0.63,-0.0118,4.21,3
P_002718,11.759151,87.489131,6946.97,35.25,164.23,-0.102,28.02,-7.71,228.1,194.7,39.0,47.2,398.9,48.3,22.8,12.4,33.2,20.8,1,0.064,67.9,0.67,2,0.022,198.3,0.801,8.04,27.67,-0.0277,5.54,4
P_002719,36.304083,71.476151,8501.78,1.1,171.84,0.1031,42.75,21.47,210.6,188.6,13.1,195.8,627.3,131.8,26.9,23.6,30.2,6.6,6,0.331,251.0,0.896,2,0.175,210.2,0.139,0.23,1.06,0.0146,2.01,1
P_002720,17.055076,81.868992,4133.75,1.99,223.58,0.1195,13.22,-7.73,1142.4,973.2,42.2,90.8,223.7,87.4,7.1,-4.0,18.1,22.1,7,0.393,439.0,0.567,1,0.659,2173.3,0.114,2.28,0.93,-0.0824,0.31,0
P_002721,11.009886,90.758913,5500.67,30.6,112.83,-0.056,42.33,0.75,254.6,161.5,33.1,136.6,47.1,106.4,14.5,3.9,25.1,21.2,6,0.157,589.1,0.56,1,0.681,391.9,0.081,7.79,19.02,-0.0516,3.98,2
P_002722,35.186286,94.10812,1621.98,21.07,270.86,-0.1318,8.27,-4.53,93.4,68.4,33.1,3.3,677.6,266.5,28.6,19.8,37.5,17.7,5,0.181,4362.7,0.569,4,0.225,31.7,0.828,1.97,3.86,0.1318,4.01,3
P_002723,13.582154,87.198089,681.41,30.54,284.66,0.0025,15.32,-4.96,1280.1,941.4,38.7,52.7,0.8,4.0,28.2,16.2,40.1,23.9,2,0.393,730.7,0.701,2,0.238,518.0,0.381,39.1,2.35,-0.0024,4.24,3
P_002724,19.736926,76.674336,1992.31,0.94,12.12,0.1105,25.08,15.91,120.0,90.5,129.2,191.5,153.0,57.4,9.7,2.4,17.0,14.5,5,1.923,3559.2,0.679,1,0.398,195.3,0.247,0.11,0.21,0.0232,2.88,2
P_002725,16.547769,96.868435,7972.96,11.2,152.65,0.1612,35.19,-7.01,1024.7,907.4,14.2,84.1,332.6,105.8,31.1,22.2,40.0,17.8,3,0.522,5263.9,0.466,1,0.126,1172.0,0.838,11.48,10.09,0.074,1.71,1
P_002726,14.086991,84.796365,3444.11,5.73,188.27,-0.023,27.82,-6.09,1476.0,1057.1,29.4,102.2,42.3,806.3,15.2,5.8,24.5,18.8,2,0.522,649.6,0.499,3,0.042,107.3,0.899,8.46,2.23,0.0033,4.16,3
P_002727,12.769066,87.360737,4572.48,10.82,21.09,-0.3398,4.0,0.31,80.5,67.4,2.5,79.7,193.1,40.4,22.8,10.9,34.7,23.8,1,0.577,632.9,0.481,7,0.019,18.0,0.088,0.87,5.59,-0.1223,3.6,2
P_002728,35.247111,75.704478,5709.64,20.34,350.5,0.0341,44.91,-1.72,1145.8,981.5,16.4,0.8,41.4,221.6,6.8,3.9,9.8,5.8,3,0.522,2479.2,0.648,3,0.116,260.6,0.009,23.31,13.13,-0.0056,4.54,3
P_002729,18.604475,88.336496,574.78,32.94,326.44,0.0069,7.84,-1.44,1371.2,1018.0,4.1,183.3,17.9,178.6,34.6,27.8,41.3,13.5,7,0.093,3544.7,0.741,2,0.389,26.5,0.38,45.16,2.14,-0.0038,3.64,2
P_002730,10.328548,92.519742,8726.93,17.78,351.1,0.0699,41.63,-4.72,1986.1,1584.7,83.8,126.7,140.7,1130.9,27.6,25.0,30.2,5.2,6,0.393,297.7,0.972,3,0.095,1433.1,0.895,35.31,17.53,-0.0108,3.13,2
P_002731,18.578078,68.109943,5266.39,55.37,297.75,0.0129,24.31,10.16,1084.2,938.5,19.4,111.9,13.4,59.5,33.2,25.2,41.1,15.9,6,1.017,5440.3,0.621,1,0.77,242.5,0.345,60.03,32.95,-0.0114,3.65,2
P_002732,17.208155,91.880855,8444.31,26.11,142.88,0.0502,45.18,-8.54,615.9,377.1,6.6,48.2,138.3,137.3,19.6,7.5,31.7,24.2,1,0.814,1215.1,0.669,5,0.07,90.2,0.086,16.08,24.92,0.0303,4.69,3
P_002733,13.286079,69.252368,4287.59,7.43,212.25,0.0837,13.92,16.56,103.5,84.8,18.5,28.4,234.6,233.3,11.1,1.0,21.3,20.3,7,2.11,1262.2,0.747,1,0.344,1716.0,0.18,0.77,3.6,-0.0446,2.1,1
P_002734,9.024333,85.657548,3046.05,11.3,44.94,-0.1453,16.79,16.27,206.3,149.5,36.6,8.5,182.9,105.4,32.6,27.4,37.8,10.4,6,0.436,2312.6,0.799,3,0.571,1380.3,0.329,2.33,3.89,-0.1026,0.26,0
P_002735,22.691189,69.393051,2018.66,6.66,307.22,-0.074,18.81,7.54,3441.0,2864.4,6.7,38.6,184.7,87.3,24.1,19.2,29.0,9.7,4,0.613,3091.2,0.642,4,0.02,634.9,0.279,22.9,1.52,0.0589,4.03,3
P_002736,36.983446,83.790058,5261.33,8.31,218.13,0.0501,33.2,-5.1,354.2,294.6,66.9,166.6,242.7,8.1,10.7,4.3,17.1,12.8,2,0.379,4567.9,0.413,1,0.089,198.8,0.151,2.94,4.94,-0.0309,3.71,2
P_002737,20.918837,86.838059,4802.97,27.55,6.67,0.1467,23.76,7.8,391.3,309.8,50.5,16.1,321.4,553.7,7.5,0.4,14.7,14.2,3,0.31,1237.2,0.337,1,0.215,399.0,0.973,10.78,14.95,0.017,5.87,4
P_002738,21.314086,75.799207,6045.41,0.72,101.33,-0.2245,33.08,-13.58,1448.6,1197.7,1.8,57.3,573.7,150.1,10.9,3.2,18.6,15.4,3,0.124,514.4,0.485,2,0.258,561.5,0.098,1.05,0.5,-0.2201,1.71,1
P_002739,23.903142,77.675786,1521.29,25.7,15.65,0.0457,9.05,-12.68,1049.6,857.8,119.9,23.6,65.6,504.5,11.5,5.2,17.8,12.7,6,0.236,316.4,0.557,3,0.459,75.7,0.627,26.98,4.42,0.0123,3.44,2
P_002740,11.170357,92.76813,4904.49,17.98,164.81,0.1054,11.12,2.45,320.7,230.8,3.9,540.5,191.8,63.2,8.9,1.6,16.2,14.7,1,0.266,5797.8,0.276,2,0.207,1558.1,0.24,5.77,9.97,0.0276,3.7,2
P_002741,8.854481,79.222584,4034.09,54.22,31.74,-0.1062,37.58,13.22,1899.5,1325.5,10.4,121.4,139.2,269.7,21.4,18.6,24.1,5.5,1,0.189,782.2,0.832,3,0.152,961.9,0.151,103.0,24.72,-0.0559,6.7,4
P_002742,26.77605,77.021122,4873.2,18.43,8.15,-0.0272,45.99,-7.56,3230.5,1992.5,70.2,74.7,218.6,255.0,9.4,4.3,14.5,10.2,3,1.256,141.5,0.757,1,0.247,517.6,0.533,59.55,10.15,-0.0039,7.49,4
P_002743,31.079491,95.656685,7691.55,22.4,148.64,-0.0851,30.3,3.72,1405.0,881.1,17.5,102.6,184.3,441.3,8.7,1.1,16.4,15.3,8,1.537,271.0,0.536,4,0.009,60.4,0.242,31.47,19.47,-0.0443,4.07,3
P_002744,29.587471,91.107716,3676.42,2.65,179.8,0.0634,34.07,2.27,2075.6,1410.2,89.6,94.7,159.3,124.2,11.1,3.2,19.1,15.9,7,0.134,653.4,0.97,3,0.046,422.1,0.041,5.5,1.1,0.0002,3.41,2
P_002745,27.267984,73.825173,6284.49,27.48,266.87,0.0687,18.82,12.56,514.3,396.3,14.3,42.3,33.8,605.9,27.1,19.5,34.6,15.1,3,0.596,177.0,0.697,1,0.509,130.3,1.46,14.13,19.51,-0.0686,3.93,2
P_002746,28.387131,88.806415,5017.32,1.1,308.29,-0.0355,31.74,-6.08,334.7,273.1,84.5,167.4,252.6,59.8,11.7,4.1,19.2,15.0,4,0.335,3497.8,0.905,2,0.168,737.7,0.612,0.37,0.63,0.0279,0.84,0
